客户姓名,信用评分,自动审批状态,申请细节
李四,625,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-01-19"", ""verificationStatus"": 2}"
李四,631,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-05-02"", ""verificationStatus"": 2}"
李四,619,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2017-07-08"", ""verificationStatus"": 2}"
李四,602,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-11-10"", ""verificationStatus"": 2}"
李四,629,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2009-09-10"", ""verificationStatus"": 2}"
李四,625,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-02-15"", ""verificationStatus"": 2}"
张三,603,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-02-14"", ""verificationStatus"": 2}"
李四,602,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-07-01"", ""verificationStatus"": 2}"
张三,643,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-11-14"", ""verificationStatus"": 2}"
李四,633,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2015-08-29"", ""verificationStatus"": 2}"
张三,616,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2009-08-08"", ""verificationStatus"": 2}"
李四,636,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2012-06-10"", ""verificationStatus"": 2}"
李四,637,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-08-24"", ""verificationStatus"": 2}"
李四,609,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-03-16"", ""verificationStatus"": 2}"
张三,637,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-07-03"", ""verificationStatus"": 2}"
李四,622,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-07-13"", ""verificationStatus"": 2}"
李四,640,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2014-03-31"", ""verificationStatus"": 2}"
李四,631,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2016-08-31"", ""verificationStatus"": 2}"
张三,610,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-02-27"", ""verificationStatus"": 2}"
张三,636,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2016-11-28"", ""verificationStatus"": 2}"
李四,608,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-03-18"", ""verificationStatus"": 2}"
李四,630,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2011-03-18"", ""verificationStatus"": 2}"
李四,604,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-04-02"", ""verificationStatus"": 2}"
张三,611,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2008-06-02"", ""verificationStatus"": 2}"
张三,642,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2009-06-20"", ""verificationStatus"": 2}"
李四,632,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2016-09-30"", ""verificationStatus"": 2}"
李四,617,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-05-23"", ""verificationStatus"": 2}"
李四,600,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-04-16"", ""verificationStatus"": 2}"
李四,616,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2014-09-04"", ""verificationStatus"": 2}"
李四,612,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2010-03-06"", ""verificationStatus"": 2}"
张三,600,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2015-08-13"", ""verificationStatus"": 2}"
李四,623,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-10-25"", ""verificationStatus"": 2}"
李四,635,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2012-02-14"", ""verificationStatus"": 2}"
李四,601,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2018-11-13"", ""verificationStatus"": 2}"
张三,610,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2014-12-13"", ""verificationStatus"": 2}"
李四,640,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2007-06-06"", ""verificationStatus"": 2}"
张三,615,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2013-02-26"", ""verificationStatus"": 2}"
李四,611,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2008-09-30"", ""verificationStatus"": 2}"
李四,636,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2012-04-23"", ""verificationStatus"": 2}"
张三,628,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2011-03-23"", ""verificationStatus"": 2}"
李四,610,不通过,"{""term"": 5, ""grade"": ""G"", ""dti"": 23.0, ""openAcc"": 17, ""loanAmnt"": 10000, ""annualIncome"": 100000.0, ""interestRate"": 15.0, ""employmentTitle"": 100.0, ""ficoRangeHigh"": 665, ""totalAcc"": 30, ""revolUtil"": 100.0, ""title"": 1000.0, ""n2"": 5, ""n14"": 5, ""employmentLength"": ""< 1 year"", ""homeOwnership"": 0, ""issueDate"": ""2008-06-18"", ""verificationStatus"": 2}"
